hscode,description
1210.10,Hop cones; neither ground nor powdered nor in the form of pellets
1210.20,"Hop cones; ground, powdered or in the form of pellets; lupulin"
1211.20,"Ginseng roots, of a kind used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purposes, fresh, chilled, frozen or dried, whether or not cut, crushed or powdered"
1211.30,"Coca leaf; of a kind used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purposes, fresh, chilled, frozen or dried, whether or not cut, crushed or powdered"
1211.40,"Poppy straw; of a kind used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purposes, fresh, chilled, frozen or dried, whether or not cut, crushed or powdered"
1211.50,"Ephedra, of a kind used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purposes, fresh, chilled, frozen or dried, whether or not cut, crushed or powdered"
1211.60,"Bark of African cherry (Prunus africana); of a kind used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purposes, fresh, chilled, frozen or dried, whether or not cut, crushed or powdered"
1211.90,"Plants and parts (including seeds and fruits) n.e.c. in heading no. 1211, of a kind used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purposes, fresh, chilled, frozen or dried, whether or not cut, crushed or powdered"
1212.21,"Seaweeds and other algae; fit for human consumption, fresh, chilled, frozen or dried, whether or not ground"
1212.29,"Seaweeds and other algae; not fit for human consumption, fresh, chilled, frozen or dried, whether or not ground"
1212.91,"Sugar beet; fit for human consumption, fresh, chilled, frozen or dried, whether or not ground"
1212.92,"Locust beans (carob); fit for human consumption, fresh, chilled, frozen or dried, whether or not ground"
1212.93,"Sugar cane; fit for human consumption, fresh, chilled, frozen or dried, whether or not ground"
1212.94,"Chicory roots (Chicorium intybus sativum); fit for human consumption, fresh, chilled, frozen or dried, whether or not ground"
1212.99,"Vegetable products; fit for human consumption, n.e.c. in heading no. 1212, fresh, chilled, frozen or dried, whether or not ground"
1213.00,"Cereal straw and husks; unprepared, whether or not chopped, ground, pressed or in the form of pellets"
1214.10,Lucerne (alfalfa) meal and pellets
1214.90,"Forage products including swedes, mangolds, fodder roots, hay, sainfoin, clover, forage kale, lupines, vetches etc., pelletised or otherwise"
1301.20,Gum Arabic
1301.90,"Natural gums, resins, gum-resins and oleoresins, n.e.c. in heading no. 1301"
1302.11,Vegetable saps and extracts; opium
1302.12,Vegetable saps and extracts; of liquorice
1302.13,Vegetable saps and extracts; of hops
1302.14,Vegetable saps and extracts; of ephedra
1302.19,Vegetable saps and extracts; n.e.c. in item no. 1302.1
1302.20,Pectic substances; pectinates and pectates
1302.31,"Mucilages and thickeners; agar-agar, whether or not modified, derived from vegetable products"
1302.32,"Mucilages and thickeners; whether or not modified, derived from locust beans, locust bean seeds or guar seeds"
1302.39,"Mucilages and thickeners; whether or not modified, derived from vegetable products, n.e.c. in item no. 1302.3"
1401.10,Bamboo used primarily for plaiting
1401.20,Rattans used primarily for plaiting
1401.90,Vegetable materials of a kind used primarily for plaiting; n.e.c. in heading no. 1401
1404.20,Vegetable products; cotton linters
1404.90,Vegetable products; n.e.c. in chapter 14
1501.10,"Pig fat; lard, other than that of heading 0209 and 1503"
1501.20,"Pig fat; not lard, other than that of heading 0209 or 1503"
1501.90,Poultry fat; other than that of heading 0209 or 1503
1502.10,Tallow; other than those of heading 1503
1502.90,"Fats of bovine animals, sheep or goats; excluding tallow, and other than those of heading 1503"
1503.00,"Lard stearin, lard oil, oleostearin, oleo-oil and tallow oil; not emulsified or mixed or otherwise prepared"
1504.10,"Oils of fish; fish-liver oils and their fractions, whether or not refined, but not chemically modified"
1504.20,"Fats and oils and their fractions; of fish, (excluding liver-oils)"
1504.30,Fats and oils and their fractions; of marine mammals
1505.00,Wool grease and fatty substances derived therefrom (including lanolin)
1506.00,"Animal fats and oils and their fractions; whether or not refined, but not chemically modified, n.e.c. in chapter 15"
1507.10,"Vegetable oils; soya-bean oil and its fractions, crude, whether or not degummed, not chemically modified"
1507.90,"Vegetable oils; soya-bean oil and its fractions, other than crude, whether or not refined, but not chemically modified"
1508.10,"Vegetable oils; ground-nut oil and its fractions, crude, not chemically modified"
1508.90,"Vegetable oils; ground-nut oil and its fractions, other than crude, whether or not refined, but not chemically modified"
1509.20,"Vegetable oils; olive oil and its fractions, extra virgin olive oil, whether or not refined, but not chemically modified"
1509.30,"Vegetable oils; olive oil and its fractions, virgin olive oil, whether or not refined, but not chemically modified"
1509.40,"Vegetable oils; olive oil and its fractions, virgin olive oils n.e.c. in heading 1509, whether or not refined, but not chemically modified"
1509.90,"Vegetable oils; olive oil and its fractions, other than virgin, whether or not refined, but not chemically modified"
1510.10,"Vegetable oils; crude olive pomace oil and their fractions, obtained solely from olives, whether or not refined, but not chemically modified"
1510.90,"Vegetable oils; oils and their fractions n.e.c. in heading 1510, obtained solely from olives, whether or not refined, but not chemically modified, including blends of these oils or fractions with oils or fractions of heading no. 1509"
1511.10,"Vegetable oils; palm oil and its fractions, crude, not chemically modified"
1511.90,"Vegetable oils; palm oil and its fractions, other than crude, whether or not refined, but not chemically modified"
1512.11,"Vegetable oils; sunflower seed or safflower oil and their fractions, crude, not chemically modified"
1512.19,"Vegetable oils; sunflower seed or safflower oil and their fractions, other than crude, whether or not refined, but not chemically modified"
1512.21,"Vegetable oils; cotton-seed oil and its fractions; crude, whether or not gossypol has been removed, not chemically modified"
1512.29,"Vegetable oils; cotton-seed oil and its fractions, other than crude, whether or not refined, but not chemically modified"
1513.11,"Vegetable oils; coconut (copra) oil and its fractions, crude, not chemically modified"
1513.19,"Vegetable oils; coconut (copra) oil and its fractions, other than crude, whether or not refined, but not chemically modified"
1513.21,"Vegetable oils; palm kernel or babassu oil and their fractions, crude, not chemically modified"
1513.29,"Vegetable oils; palm kernel or babassu oil and their fractions, other than crude, whether or not refined, but not chemically modified"
1514.11,"Vegetable oils; low erucic acid rape or colza oil and its fractions, crude"
1514.19,"Vegetable oils; low erucic acid rape or colza oil and its fractions, other than crude, but not chemically modified"
1514.91,"Vegetable oils; excluding low erucic acid rape or colza oil and its fractions, crude"
1514.99,"Vegetable oils; excluding low erucic acid rape or colza oil and its fractions, other than crude, but not chemically modified"
1515.11,"Vegetable oils; linseed oil and its fractions, crude, not chemically modified"
1515.19,"Vegetable oils; linseed oil and its fractions, other than crude, whether or not refined, but not chemically modified"
1515.21,"Vegetable oils; maize (corn) oil and its fractions, crude, not chemically modified"
1515.29,"Vegetable oils; maize (corn) oil and its fractions, other than crude, whether or not refined, but not chemically modified"
1515.30,"Vegetable oils; castor oil and its fractions, whether or not refined, but not chemically modified"
1515.50,"Vegetable oils; sesame oil and its fractions, whether or not refined, but not chemically modified"
1515.60,"Vegetable oils; microbial fats and oils and their fractions, whether or not refined, but not chemically modified"
1515.90,"Fixed vegetable fats and oils and their fractions n.e.c. in heading 1515; other than linseed, maize (corn), castor, sesame, microbial oils, whether or not refined, but not chemically modified"
1516.10,"Animal fats and oils and their fractions; partly or wholly hydrogenated, inter-esterified, re-esterified or elaidinised, whether or not refined, but not further prepared"
1516.20,"Vegetable fats and oils and their fractions; partly or wholly hydrogenated, inter-esterified, re-esterified or elaidinised, whether or not refined, but not further prepared"
1516.30,"Microbial fats and oils and their fractions; partly or wholly hydrogenated, inter-esterified, re-esterified or elaidinised, whether or not refined, but not further prepared"
1517.10,Margarine; excluding liquid margarine
1517.90,"Edible mixtures or preparations of animal, vegetable or microbial fats or oils or of fractions of different fats or oils of this Chapter, n.e.c. in heading 1517, other than edible fats and oils or their fractions of heading 15.16"
1518.00,"Animal, vegetable or microbial fats, oils and their fractions; boiled, oxidised, dehydrated or otherwise chemically modified, excluding those of heading no. 1516, inedible mixtures or preparations of fats, oils or their fractions, n.e.c. in chapter 15"
1520.00,"Glycerol, crude; glycerol waters and glycerol lyes"
1521.10,Vegetable waxes (other than triglycerides); whether or not refined or coloured
1521.90,"Waxes, other than vegetable, n.e.c. in heading no. 1521; whether or not refined or coloured"
1522.00,Degras; residues resulting from the treatment of fatty substances or animal or vegetable waxes
1601.00,"Meat preparations; sausages and similar products, of meat, meat offal, blood or insects, and food preparations based on these products"
1602.10,"Meat preparations; homogenised preparations of meat, meat offal blood or insects"
1602.20,Meat preparations; of the prepared or preserved liver of any animal (excluding homogenised preparations)
1602.31,"Meat preparations; of turkeys, prepared or preserved meat or meat offal (excluding livers and homogenised preparations)"
1602.32,"Meat preparations; of the poultry of heading no. 0105, (i.e. of fowls of the species Gallus domesticus)"
1602.39,"Meat preparations; of poultry (excluding turkeys), prepared or preserved meat or meat offal (excluding livers and homogenised preparations)"
1602.41,"Meat preparations; of swine, hams and cuts thereof, prepared or preserved (excluding homogenised preparations)"
1602.42,"Meat preparations; of swine, shoulders and cuts thereof, prepared or preserved (excluding homogenised preparations)"
1602.49,"Meat preparations; of swine, meat or meat offal (including mixtures), prepared or preserved, n.e.c. in heading no. 1602"
1602.50,"Meat preparations; of bovine animals, meat or meat offal, prepared or preserved (excluding livers and homogenised preparations)"
1602.90,"Meat preparations; of meat, meat offal or the blood of any animal, n.e.c. in heading no. 1602"
1603.00,"Extracts and juices; of meat, fish or crustaceans, molluscs or other aquatic invertebrates"
1604.11,"Fish preparations; salmon, prepared or preserved, whole or in pieces (but not minced)"
1604.12,"Fish preparations; herrings, prepared or preserved, whole or in pieces (but not minced)"
1604.13,"Fish preparations; sardines, sardinella and brisling or sprats, prepared or preserved, whole or in pieces (but not minced)"
1604.14,"Fish preparations; tunas, skipjack tuna and bonito (Sarda spp.), prepared or preserved, whole or in pieces (but not minced)"
1604.15,"Fish preparations; mackerel, prepared or preserved, whole or in pieces (but not minced)"
1604.16,"Fish preparations; anchovies, prepared or preserved, whole or in pieces (but not minced)"
1604.17,"Fish preparations; eels, prepared or preserved, whole or in pieces (but not minced)"
1604.18,"Fish preparations; shark fins, prepared or preserved, whole or in pieces (but not minced)"
1604.19,"Fish preparations; fish prepared or preserved, whole or in pieces (but not minced), n.e.c. in heading no. 1604"
1604.20,"Fish preparations; fish minced or in forms n.e.c. in heading no. 1604, prepared or preserved"
1604.31,Fish preparations; caviar
1604.32,"Fish preparations; caviar substitutes, prepared from fish eggs"
1605.10,"Crustacean preparations; crab, prepared or preserved"
1605.21,"Crustacean preparations; shrimps and prawns, prepared or preserved, not in airtight containers"
1605.29,"Crustacean preparations; shrimps and prawns, prepared or preserved, in airtight containers"
1605.30,"Crustacean preparations; lobster, prepared or preserved"
1605.40,"Crustacean preparations; other than crab, shrimps, prawns, and lobsters, prepared or preserved"
1605.51,"Mollusc preparations; oysters, prepared or preserved"
1605.52,"Mollusc preparations; scallops, including queen scallops, prepared or preserved"
1605.53,"Mollusc preparations; mussels, prepared or preserved"
1605.54,"Mollusc preparations; cuttle fish and squid, prepared or preserved"
1605.55,"Mollusc preparations; octopus, prepared or preserved"
1605.56,"Mollusc preparations; clams, cockles and arkshells, prepared or preserved"
1605.57,"Mollusc preparations; abalone, prepared or preserved"
1605.58,"Mollusc preparations; snails, other than sea snails, prepared or preserved"
1605.59,"Mollusc preparations; n.e.c. in item no. 1605.5, preparations such as pastes, sausages, prepared meals and the like"
1605.61,"Aquatic invertebrates; sea cucumbers, prepared or preserved"
1605.62,"Aquatic invertebrates; sea urchins, prepared or preserved"
1605.63,"Aquatic invertebrates; jellyfish, prepared or preserved"
1605.69,"Aquatic invertebrates; other than crustaceans, molluscs, sea cucumbers, sea urchins, and jellyfish, prepared or preserved"
1701.12,"Sugars; beet sugar, raw, in solid form, not containing added flavouring or colouring matter"
1701.13,"Sugars; cane sugar, raw, in solid form, as specified in Subheading Note 2 to this chapter, not containing added flavouring or colouring matter"
1701.14,"Sugars; cane sugar, raw, in solid form, other than as specified in Subheading Note 2 to this chapter, not containing added flavouring or colouring matter"
1701.91,"Sugars; sucrose, chemically pure, in solid form, containing added flavouring or colouring matter"
1701.99,"Sugars; sucrose, chemically pure, in solid form, not containing added flavouring or colouring matter"
1702.11,"Sugars; lactose and lactose syrup, containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter"
1702.19,"Sugars; lactose and lactose syrup, containing by weight less than 99% lactose, expressed as anhydrous lactose, calculated on the dry matter"
1702.20,"Sugars; maple sugar, chemically pure, in solid form; maple syrup, not containing added flavouring or colouring matter"
1702.30,"Sugars; glucose and glucose syrup, not containing fructose or containing in the dry state less than 20% by weight of fructose, the syrup not containing added flavouring or colouring matter"
1702.40,"Sugars; glucose and glucose syrup, containing in the dry state at least 20% but less than 50% by weight of fructose, excluding invert sugar, the syrup not containing added flavouring or colouring matter"
1702.50,"Sugars; fructose, chemically pure, in solid form"
1702.60,"Sugars; fructose, other than chemically pure fructose, and fructose syrup (containing in the dry state more than 50% by weight of fructose), excluding invert sugar"
1702.90,"Sugars; n.e.c. in heading no. 1702, including invert sugar and other sugar and sugar syrup blends containing, in the dry state, 50% by weight of fructose"
1703.10,"Sugars; molasses, from sugar cane, resulting from the extraction or refining of sugar"
1703.90,"Sugars; molasses, from sugar beet, resulting from the extraction or refining of sugar"
1704.10,"Sugar confectionery; chewing gum, whether or not sugar-coated, not containing cocoa"
1704.90,"Sugar confectionery; (excluding chewing gum, including white chocolate), not containing cocoa"
1801.00,"Cocoa beans; whole or broken, raw or roasted"
1802.00,"Cocoa; shells, husks, skins and other cocoa waste"
1803.10,"Cocoa; paste, not defatted"
1803.20,"Cocoa; paste, wholly or partly defatted"
1804.00,"Cocoa; butter, fat and oil"
1805.00,"Cocoa; powder, not containing added sugar or other sweetening matter"
1806.10,"Cocoa; powder, containing added sugar or other sweetening matter"
1806.20,"Chocolate & other food preparations containing cocoa; in blocks, slabs or bars weighing more than 2kg or in liquid, paste, powder, granular or other bulk form in containers or immediate packings, content exceeding 2kg"
1806.31,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less"
1806.32,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less"
1806.90,Chocolate and other food preparations containing cocoa; n.e.c. in chapter 18
1901.10,"Food preparations; of flour, meal, starch, malt extract or milk products, suitable for infants or young children, put up for retail sale"
1901.20,"Food preparations; mixes and doughs for the preparation of bread, pastry, cakes, biscuits and other bakers' wares"
1901.90,"Food preparations; of flour, meal, starch, malt extract or milk products, for uses n.e.c. in heading no. 1901"
1902.11,"Food preparations; pasta, containing eggs, uncooked, not stuffed or otherwise prepared"
1902.19,"Food preparations; pasta, uncooked (excluding that containing eggs), not stuffed or otherwise prepared"
1902.20,"Food preparations; pasta, stuffed (with meat or other substances), whether or not cooked or otherwise prepared"
1902.30,"Food preparations; pasta (excluding stuffed), cooked or otherwise prepared"
1902.40,Food preparations; couscous
1903.00,"Food preparations; tapioca and substitutes thereof, prepared from starch in the form of flakes, grains, pearls, siftings or similar"
1904.10,Food preparations; obtained by the swelling or roasting of cereals or cereal products
1904.20,Food preparations; obtained from unroasted cereal flakes or from mixtures of unroasted cereal flakes and roasted cereal flakes or swelled cereals
1904.30,"Prepared foods obtained by the swelling or roasting of cereals or cereal products (e.g. corn flakes); cereals, not maize (corn), in grain form or in the form of flakes or other worked grains, from bulgur wheat"
1904.90,"Food preparations; cereal or cereal products (excluding maize), in grain form, pre-cooked or otherwise prepared"
1905.10,"Food preparations; crispbread, whether or not containing cocoa"
1905.20,"Food preparations; gingerbread and the like, whether or not containing cocoa"
1905.31,"Food preparations; sweet biscuits, whether or not containing cocoa"
1905.32,"Food preparations; waffles and wafers, whether or not containing cocoa"
1905.40,"Food preparations; rusks, toasted bread and similar toasted products, whether or not containing cocoa"
1905.90,"Food preparations; bakers' wares n.e.c. in heading no. 1605, whether or not containing cocoa; communion wafers, empty cachets suitable for pharmaceutical use, sealing wafers, rice papers and similar products"
2001.10,"Vegetable preparations; cucumbers and gherkins, prepared or preserved by vinegar or acetic acid"
2001.90,"Vegetable preparations; vegetables, fruit, nuts and other edible parts of plants, prepared or preserved by vinegar or acetic acid (excluding cucumbers and gherkins)"
2002.10,"Vegetable preparations; tomatoes, whole or in pieces, prepared or preserved otherwise than by vinegar or acetic acid"
2002.90,"Vegetable preparations; tomatoes, (other than whole or in pieces), prepared or preserved otherwise than by vinegar or acetic acid"
2003.10,"Vegetable preparations; mushrooms of the genus Agaricus, prepared or preserved otherwise than by vinegar or acetic acid"
2003.90,"Vegetable preparations; mushrooms and truffles, other than mushrooms of the genus Agaricus, prepared or preserved otherwise than by vinegar or acetic acid"
2004.10,"Vegetable preparations; potatoes, prepared or preserved otherwise than by vinegar or acetic acid, frozen"
2004.90,"Vegetable preparations; vegetables and mixtures of vegetables (excluding potatoes), prepared or preserved otherwise than by vinegar or acetic acid, frozen"
2005.10,"Vegetable preparations; homogenised vegetables, prepared or preserved otherwise than by vinegar or acetic acid, not frozen"
2005.20,"Vegetable preparations; potatoes, prepared or preserved otherwise than by vinegar or acetic acid, not frozen"
2005.40,"Vegetable preparations; peas (pisum sativum), prepared or preserved otherwise than by vinegar or acetic acid, not frozen"
2005.51,"Vegetable preparations; beans, shelled, prepared or preserved otherwise than by vinegar or acetic acid, not frozen"
2005.59,"Vegetable preparations; beans, (not shelled), prepared or preserved otherwise than by vinegar or acetic acid, not frozen"
2005.60,"Vegetable preparations; asparagus, prepared or preserved otherwise than by vinegar or acetic acid, not frozen"
2005.70,"Vegetable preparations; olives, prepared or preserved otherwise than by vinegar or acetic acid, not frozen"
2005.80,"Vegetable preparations; sweetcorn (zea mays var. saccharata), prepared or preserved otherwise than by vinegar or acetic acid, not frozen"
2005.91,"Vegetable preparations; bamboo shoots, prepared or preserved otherwise than by vinegar or acetic acid, not frozen"
2005.99,"Vegetable preparations; vegetables and mixtures of vegetables n.e.c. in heading no. 2005, prepared or preserved otherwise than by vinegar or acetic acid, not frozen"
2006.00,"Vegetables, fruit, nuts, fruit-peel and other parts of plants, preserved by sugar (drained, glace or crystallised)"
2007.10,"Jams, fruit jellies, marmalades, fruit or nut puree and fruit or nut pastes; homogenised, cooked preparations, whether or not containing added sugar or other sweetening matter"
2007.91,"Jams, jellies, marmalades, purees and pastes; of citrus fruit, being cooked preparations (excluding homogenised), whether or not containing added sugar or other sweetening matter"
2007.99,"Jams, fruit jellies, marmalades, purees and pastes; of fruit or nuts n.e.c. in heading no. 2007, cooked preparations (excluding homogenised), whether or not containing added sugar or other sweetening matter"
2008.11,"Nuts; ground-nuts, whether or not containing added sugar, other sweetening matter or spirit"
2008.19,"Nuts and other seeds; whether or not containing added sugar, other sweetening matter or spirit (excluding ground-nuts except in mixtures)"
2008.20,"Fruit; pineapples, prepared or preserved in ways n.e.c. in heading no. 2007, whether or not containing added sugar, other sweetening matter or spirit"
2008.30,"Fruit; citrus, prepared or preserved in ways n.e.c. in heading no. 2007, whether or not containing added sugar, other sweetening matter or spirit"
2008.40,"Fruit; pears, prepared or preserved in ways n.e.c. in heading no. 2007, whether or not containing added sugar, other sweetening matter or spirit"
2008.50,"Fruit; apricots, prepared or preserved in ways n.e.c. in heading no. 2007, whether or not containing added sugar, other sweetening matter or spirit"
2008.60,"Fruit; cherries, prepared or preserved in ways n.e.c. in heading no. 2007, whether or not containing added sugar, other sweetening matter or spirit"
2008.70,"Fruit; peaches, including nectarines, prepared or preserved in ways n.e.c. in heading no. 2007 and 2008, whether or not containing added sugar, other sweetening matter or spirit"
2008.80,"Fruit; strawberries, prepared or preserved in ways n.e.c. in heading no. 2007, whether or not containing added sugar, other sweetening matter or spirit"
2008.91,"Fruit, palm hearts; prepared or preserved, whether or not containing added sugar, other sweetening matter or spirit"
2008.93,"Fruit; cranberries (Vaccinium macrocarpon, Vaccinium oxycoccos); Iingonberries (Vaccinium vitis-idaea), prepared or preserved, whether or not containing added sugar, other sweetening matter or spirit"
2008.97,"Fruit, nuts and other edible parts of plants; mixtures (other than those of subheading no 2008.19); prepared or preserved in ways n.e.c. in headings 2007 and 2008, whether or not containing added sugar, or other sweetening matter or spirit, n.e.c."
2008.99,"Fruit, nuts and other edible parts of plants; prepared or preserved, whether or not containing added sugar, other sweetening matter or spirit, n.e.c. in heading no. 2008"
2009.11,"Juice; orange, frozen, unfermented, (not containing added spirit), whether or not containing added sugar or other sweetening matter"
2009.12,"Juice; orange, not frozen, of a Brix value not exceeding 20, unfermented, not containing added spirit, whether or not containing added sugar or other sweetening matter"
2009.19,"Juice; orange, not frozen, of a Brix value exceeding 20, unfermented, not containing added spirit, whether or not containing added sugar or other sweetening matter"
2009.21,"Juice; grapefruit or pomelo, of a Brix value not exceeding 20, unfermented, (not containing added spirit), whether or not containing added sugar or other sweetening matter"
2009.29,"Juice; grapefruit or pomelo, of a Brix value exceeding 20, unfermented, not containing added spirit, whether or not containing added sugar or other sweetening matter"
2009.31,"Juice; of single citrus fruit (excluding orange, grapefruit or pomelo), of a Brix value not exceeding 20, unfermented, not containing added spirit, whether or not containing added sugar or other sweetening matter"
2009.39,"Juice; of single citrus fruit (excluding orange, grapefruit or pomelo), of a Brix value exceeding 20, unfermented, not containing added spirit, whether or not containing added sugar or other sweetening matter"
2009.41,"Juice; pineapple, of a Brix value not exceeding 20, unfermented, (not containing added spirit), whether or not containing added sugar or other sweetening matter"
2009.49,"Juice; pineapple, of a Brix value exceeding 20, unfermented, not containing added spirit, whether or not containing added sugar or other sweetening matter"
2009.50,"Juice; tomato, unfermented, not containing added spirit, whether or not containing added sugar or other sweetening matter"
2009.61,"Juice; grape, of a Brix value not exceeding 30, unfermented, (not containing added spirit), whether or not containing added sugar or other sweetening matter"
2009.69,"Juice; grape, of a Brix value exceeding 30, unfermented, not containing added spirit, whether or not containing added sugar or other sweetening matter"
2009.71,"Juice; apple, of a Brix value not exceeding 20, unfermented, (not containing added spirit), whether or not containing added sugar or other sweetening matter"
2009.79,"Juice; apple, of a Brix value exceeding 20, unfermented, not containing added spirit, whether or not containing added sugar or other sweetening matter"
2009.81,"Juice; cranberry (Vaccinium macrocarpon, Vaccinium oxycoccos); Iingonberry (Vaccinium vitis-idaea), unfermented, not containing added spirit, whether or not containing added sugar or other sweetening matter"
2009.89,"Juice; of any single fruit, nut or vegetable n.e.c. in heading no. 2009, unfermented, not containing added spirit, whether or not containing added sugar or other sweetening matter"
2009.90,"Juices; mixtures of fruits or vegetables (but not nut juice), unfermented, not containing added spirit, whether or not containing added sugar or other sweetening matter"
2101.11,"Extracts, essences and concentrates; of coffee, and preparations with a basis of these extracts, essences or concentrates or with a basis of coffee"
2101.12,"Preparations with a basis of extracts, essences or concentrates or with a basis of coffee"
2101.20,"Extracts, essences and concentrates; of tea or mate, and preparations with a basis of these extracts, essences or concentrates or with a basis of tea or mate"
2101.30,"Chicory, roasted and other roasted coffee substitutes; extracts, essences and concentrates thereof"
2102.10,Yeasts; active
2102.20,"Yeasts; inactive, other single-cell micro-organisms, dead"
2102.30,Baking powders; prepared
2103.10,Sauces; soya
2103.20,Sauces; tomato ketchup and other tomato sauces
2103.30,Mustard flour and meal and prepared mustard
2103.90,Sauces and preparations therefor; mixed condiments and mixed seasonings
2104.10,Soups and broths and preparations therefor
2104.20,Homogenised composite food preparations
2105.00,Ice cream and other edible ice; whether or not containing cocoa
2106.10,Protein; concentrates and textured protein substances
2106.90,Food preparations; n.e.c. in item no. 2106.10
2201.10,"Waters; mineral and aerated, including natural or artificial, (not containing added sugar or other sweetening matter nor flavoured)"
2201.90,"Waters; other than mineral and aerated, (not containing added sugar or other sweetening matter nor flavoured), ice and snow"
2202.10,"Waters; including mineral and aerated, containing added sugar or other sweetening matter or flavoured"
2202.91,Non-alcoholic beverages; non-alcoholic beer
2202.99,"Non-alcoholic beverages; other than non-alcoholic beer, n.e.c. in item no. 2202.10, not including fruit, nut or vegetable juices of heading no. 2009"
2203.00,Beer; made from malt
2204.10,Wine; sparkling
2204.21,"Wine; still, in containers holding 2 litres or less"
2204.22,"Wine; still, in containers holding more than 2 litres but not more than 10 litres"
2204.29,"Wine; still, in containers holding more than 10 litres"
2204.30,"Grape must; n.e.c. in heading no. 2009, n.e.c. in item no. 2204.2"
2205.10,"Vermouth and other wine of fresh grapes, flavoured with plants or aromatic substances, in containers holding 2 litres or less"
2205.90,"Vermouth and other wine of fresh grapes, flavoured with plants or aromatic substances, in containers holding more than 2 litres"
2206.00,"Beverages, fermented; (e.g. cider, perry, mead, sake)"
2207.10,Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher
2207.20,"Ethyl alcohol and other spirits; denatured, of any strength"
2208.20,Spirits obtained by distilling grape wine or grape marc
2208.30,Whiskies
2208.40,Rum and other spirits obtained by distilling fermented sugar-cane products
2208.50,Gin and geneva
2208.60,Vodka
2208.70,Liqueurs and cordials
2208.90,"Spirits, liqueurs and other spirituous beverages; n.e.c. in heading no. 2208"
2209.00,Vinegar and substitutes for vinegar; obtained from acetic acid
2301.10,"Flours, meals and pellets; of meat or meat offal, greaves"
2301.20,"Flours, meals and pellets; of fish or of crustaceans, molluscs or other aquatic invertebrates"
2302.10,"Bran, sharps and other residues; of maize (corn), whether or not in the form of pellets, derived from the sifting, milling or other workings thereof"
2302.30,"Bran, sharps and other residues; of wheat, whether or not in the form of pellets, derived from the sifting, milling or other workings thereof"
2302.40,"Bran, sharps and other residues; of other cereals, whether or not in the form of pellets, derived from the sifting, milling or other workings thereof"
2302.50,"Bran, sharps and other residues; of leguminous plants, whether or not in the form of pellets, derived from the sifting, milling or other workings thereof"
2303.10,Residues of starch manufacture and similar residues; whether or not in the form of pellets
2303.20,"Beet-pulp, bagasse and other waste of sugar manufacture; whether or not in the form of pellets"
2303.30,Brewing or distilling dregs and waste; whether or not in the form of pellets
2304.00,"Oil-cake and other solid residues; whether or not ground or in the form of pellets, resulting from the extraction of soya-bean oil"
2305.00,"Oil-cake and other solid residues; whether or not ground or in the form of pellets, resulting from the extraction of ground-nut oil"
2306.10,"Oil-cake and other solid residues; whether or not ground or in the form of pellets, resulting from the extraction of cotton seed oils"
2306.20,"Oil-cake and other solid residues; whether or not ground or in the form of pellets, resulting from the extraction of linseed oils"
2306.30,"Oil-cake and other solid residues; whether or not ground or in the form of pellets, resulting from the extraction of sunflower seed oils"
2306.41,"Oil-cake and other solid residues; whether or not ground or in the form of pellets, resulting from the extraction of low erucic acid rape or colza seed oils"
2306.49,"Oil-cake and other solid residues; whether or not ground or in the form of pellets, resulting from the extraction of rape seed oils (other than low erucic acid rape or colza)"
2306.50,"Oil-cake and other solid residues; whether or not ground or in the form of pellets, resulting from the extraction of coconut or copra seed oils"
2306.60,"Oil-cake and other solid residues; whether or not ground or in the form of pellets, resulting from the extraction of palm nuts or kernels oils"
2306.90,"Oil-cake and other solid residues; whether or not ground or in the form of pellets, resulting from the extraction of oils, n.e.c. in heading no. 2306"
2307.00,Wine lees; argol
2308.00,"Vegetable materials and vegetable waste, vegetable residues and by-products; whether or not in the form of pellets, of a kind used in animal feeding, not elsewhere specified or included"
2309.10,"Dog or cat food; put up for retail sale, used in animal feeding"
2309.90,"Dog or cat food; (not put up for retail sale), used in animal feeding"
2401.10,"Tobacco, (not stemmed or stripped)"
2401.20,Tobacco; partly or wholly stemmed or stripped
2401.30,Tobacco refuse
2402.10,"Cigars, cheroots and cigarillos; containing tobacco including the weight of every band, wrapper or attachment thereto"
2402.20,Cigarettes; containing tobacco
2402.90,"Cigars, cigarillos and cheroots; containing tobacco substitutes including the weight of every band, wrapper or attachment thereto"
2403.11,"Tobacco; smoking, water pipe tobacco as specified in Subheading Note 1 to this Chapter, whether or not containing tobacco substitutes in any proportion"
2403.19,"Tobacco; smoking, other than water pipe tobacco, whether or not containing tobacco substitutes in any proportion"
2403.91,Tobacco; homogenised or reconstituted
2403.99,Tobacco; other than homogenised or reconstituted or smoking
2404.11,"Products containing tobacco or reconstituted tobacco, intended for inhalation without combustion"
2404.12,"Products containing nicotine, other than tobacco or reconstituted tobacco, intended for inhalation without combustion"
